date,cases
2020-01-25,1
2020-01-26,0
2020-01-27,0
2020-01-28,1
2020-01-29,0
2020-01-30,1
2020-01-31,1
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,2
2020-02-23,0
2020-02-24,0
2020-02-25,1
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,2
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,2
2020-03-09,3
2020-03-10,2
2020-03-11,5
2020-03-12,10
2020-03-13,15
2020-03-14,5
2020-03-15,7
2020-03-16,17
2020-03-17,37
2020-03-18,30
2020-03-19,33
2020-03-20,43
2020-03-21,46
2020-03-22,73
2020-03-23,56
2020-03-24,64
2020-03-25,58
2020-03-26,54
2020-03-27,106
2020-03-28,78
2020-03-29,54
2020-03-30,88
2020-03-31,58
2020-04-01,63
2020-04-02,59
2020-04-03,22
2020-04-04,29
2020-04-05,26
2020-04-06,33
2020-04-07,24
2020-04-08,13
2020-04-09,12
2020-04-10,24
2020-04-11,6
2020-04-12,8
2020-04-13,9
2020-04-14,4
2020-04-15,5
2020-04-16,7
2020-04-17,14
2020-04-18,13
2020-04-19,1
2020-04-20,5
2020-04-21,1
2020-04-22,1
2020-04-23,5
2020-04-24,3
2020-04-25,3
2020-04-26,1
2020-04-27,3
2020-04-28,3
2020-04-29,7
2020-04-30,5
2020-05-01,10
2020-05-02,11
2020-05-03,21
2020-05-04,14
2020-05-05,16
2020-05-06,15
2020-05-07,13
2020-05-08,12
2020-05-09,8
2020-05-10,5
2020-05-11,16
2020-05-12,7
2020-05-13,9
2020-05-14,19
2020-05-15,13
2020-05-16,5
2020-05-17,6
2020-05-18,7
2020-05-19,5
2020-05-20,5
2020-05-21,10
2020-05-22,9
2020-05-23,2
2020-05-24,2
2020-05-25,5
2020-05-26,8
2020-05-27,10
2020-05-28,6
2020-05-29,8
2020-05-30,8
2020-05-31,4
2020-06-01,9
2020-06-02,7
2020-06-03,8
2020-06-04,3
2020-06-05,1
2020-06-06,4
2020-06-07,2
2020-06-08,0
2020-06-09,4
2020-06-10,7
2020-06-11,5
2020-06-12,8
2020-06-13,10
2020-06-14,12
2020-06-15,9
2020-06-16,20
2020-06-17,18
2020-06-18,12
2020-06-19,25
2020-06-20,17
2020-06-21,13
2020-06-22,17
2020-06-23,18
2020-06-24,33
2020-06-25,28
2020-06-26,40
2020-06-27,47
2020-06-28,69
2020-06-29,61
2020-06-30,76
2020-07-01,73
2020-07-02,62
2020-07-03,100
2020-07-04,68
2020-07-05,98
2020-07-06,168
2020-07-07,122
2020-07-08,149
2020-07-09,143
2020-07-10,290
2020-07-11,256
2020-07-12,167
2020-07-13,248
2020-07-14,218
2020-07-15,295
2020-07-16,379
2020-07-17,211
2020-07-18,337
2020-07-19,262
2020-07-20,341
2020-07-21,436
2020-07-22,374
2020-07-23,287
2020-07-24,333
2020-07-25,408
2020-07-26,492
2020-07-27,358
2020-07-28,274
2020-07-29,626
2020-07-30,549
2020-07-31,368
2020-08-01,598
2020-08-02,352
2020-08-03,404
2020-08-04,687
2020-08-05,444
2020-08-06,421
2020-08-07,455
2020-08-08,374
2020-08-09,310
2020-08-10,321
2020-08-11,400
2020-08-12,256
2020-08-13,360
2020-08-14,301
2020-08-15,267
2020-08-16,266
2020-08-17,218
2020-08-18,208
2020-08-19,231
2020-08-20,170
2020-08-21,173
2020-08-22,202
2020-08-23,109
2020-08-24,146
2020-08-25,142
2020-08-26,110
2020-08-27,111
2020-08-28,90
2020-08-29,108
2020-08-30,71
2020-08-31,63
2020-09-01,87
2020-09-02,110
2020-09-03,75
2020-09-04,71
2020-09-05,62
2020-09-06,38
2020-09-07,48
2020-09-08,70
2020-09-09,47
2020-09-10,40
2020-09-11,35
2020-09-12,41
2020-09-13,30
2020-09-14,39
2020-09-15,41
2020-09-16,25
2020-09-17,45
2020-09-18,20
2020-09-19,13
2020-09-20,11
2020-09-21,28
2020-09-22,14
2020-09-23,11
2020-09-24,13
2020-09-25,12
2020-09-26,16
2020-09-27,5
2020-09-28,9
2020-09-29,10
2020-09-30,14
2020-10-01,5
2020-10-02,9
2020-10-03,10
2020-10-04,8
2020-10-05,14
2020-10-06,5
2020-10-07,9
2020-10-08,10
2020-10-09,14
2020-10-10,12
2020-10-11,14
2020-10-12,11
2020-10-13,5
2020-10-14,6
2020-10-15,2
2020-10-16,1
2020-10-17,2
2020-10-18,3
2020-10-19,0
2020-10-20,3
2020-10-21,5
2020-10-22,1
2020-10-23,5
2020-10-24,7
2020-10-25,0
2020-10-26,0
2020-10-27,2
2020-10-28,2
2020-10-29,2
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,5
2020-12-12,1
2020-12-13,1
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,1
2020-12-18,2
2020-12-19,2
2020-12-20,1
2020-12-21,3
2020-12-22,1
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,1
2020-12-27,2
2020-12-28,0
2020-12-29,1
2020-12-30,3
2020-12-31,7
2021-01-01,12
2021-01-02,3
2021-01-03,3
2021-01-04,4
2021-01-05,3
2021-01-06,0
2021-01-07,1
2021-01-08,1
2021-01-09,6
2021-01-10,1
2021-01-11,0
2021-01-12,3
2021-01-13,0
2021-01-14,2
2021-01-15,3
2021-01-16,7
2021-01-17,4
